"filename", "language", "C++", "CMake", "Markdown", "comment", "blank", "total"
"d:\qtproject\FeiQ2\CMakeLists.txt", "CMake", 0, 7, 0, -9, 6, 4
"d:\qtproject\FeiQ2\code\Sqlite3\SqlLite.h", "C++", 126, 0, 0, 10, 23, 159
"d:\qtproject\FeiQ2\code\dataProcess\DataProcess.cpp", "C++", 86, 0, 0, 19, 23, 128
"d:\qtproject\FeiQ2\code\dataProcess\DataProcess.h", "C++", 21, 0, 0, 2, 3, 26
"d:\qtproject\FeiQ2\code\fileSystem\FileSystem.cpp", "C++", 0, 0, 0, 0, 1, 1
"d:\qtproject\FeiQ2\code\fileSystem\FileSystem.h", "C++", 12, 0, 0, 0, 6, 18
"d:\qtproject\FeiQ2\code\jsonCpp\dispositionReader.h", "C++", -2, 0, 0, 0, 1, -1
"d:\qtproject\FeiQ2\code\networkModule\NetworkManager.cpp", "C++", 13, 0, 0, 3, 2, 18
"d:\qtproject\FeiQ2\code\networkModule\NetworkManager.h", "C++", 2, 0, 0, 0, -1, 1
"d:\qtproject\FeiQ2\code\networkModule\Socket.h", "C++", 0, 0, 0, -1, 0, -1
"d:\qtproject\FeiQ2\code\selfDomain\SelfDomain.h", "C++", -94, 0, 0, -41, -7, -142
"d:\qtproject\FeiQ2\code\systemInfoHelper\APIHelper.cpp", "C++", 24, 0, 0, 5, 10, 39
"d:\qtproject\FeiQ2\code\systemInfoHelper\APIHelper.h", "C++", -1, 0, 0, 6, 1, 6
"d:\qtproject\FeiQ2\code\systemInfoHelper\AdapterInfo.h", "C++", 0, 0, 0, 1, 0, 1
"d:\qtproject\FeiQ2\code\task\Mapper.h", "C++", 33, 0, 0, 0, 6, 39
"d:\qtproject\FeiQ2\code\threadPool\ThreadPool.h", "C++", 1, 0, 0, 0, 0, 1
"d:\qtproject\FeiQ2\test\CMakeLists.txt", "CMake", 0, 4, 0, 1, 1, 6
"d:\qtproject\FeiQ2\test\OpenSSLtest\CMakeLists.txt", "CMake", 0, 17, 0, 3, 4, 24
"d:\qtproject\FeiQ2\test\OpenSSLtest\test.cpp", "C++", 122, 0, 0, 26, 33, 181
"d:\qtproject\FeiQ2\test\OpenSSLtest\说明.md", "Markdown", 0, 0, 52, 0, 44, 96
"d:\qtproject\FeiQ2\test\SqlLite\CMakeLists.txt", "CMake", 0, 6, 0, 1, 2, 9
"d:\qtproject\FeiQ2\test\SqlLite\test.cpp", "C++", 52, 0, 0, 1, 12, 65
"Total", "-", 395, 34, 52, 27, 170, 678
