"filename", "language", "CMake", "C++", "JSON", "comment", "blank", "total"
"d:\qtproject\FeiQ2\CMakeLists.txt", "CMake", 2, 0, 0, 2, 4, 8
"d:\qtproject\FeiQ2\code\Sqlite3\SqlLite.h", "C++", 0, 0, 0, 0, -1, -1
"d:\qtproject\FeiQ2\code\dataProcess\DataProcess.cpp", "C++", 0, 45, 0, 13, 14, 72
"d:\qtproject\FeiQ2\code\dataProcess\DataProcess.h", "C++", 0, 5, 0, 0, 0, 5
"d:\qtproject\FeiQ2\code\fileSystem\FileSystem.h", "C++", 0, 2, 0, 0, 0, 2
"d:\qtproject\FeiQ2\code\fileSystem\downloader\downloader.cpp", "C++", 0, 8, 0, 0, 2, 10
"d:\qtproject\FeiQ2\code\fileSystem\downloader\downloader.h", "C++", 0, 1, 0, 0, 0, 1
"d:\qtproject\FeiQ2\code\fileSystem\uploader\uploader.cpp", "C++", 0, 4, 0, 0, 1, 5
"d:\qtproject\FeiQ2\code\main.cpp", "C++", 0, -3, 0, 0, 1, -2
"d:\qtproject\FeiQ2\code\mainwindow\FriendItemWidget.cpp", "C++", 0, 40, 0, 6, 8, 54
"d:\qtproject\FeiQ2\code\mainwindow\FriendItemWidget.h", "C++", 0, 34, 0, 5, 6, 45
"d:\qtproject\FeiQ2\code\mainwindow\mainwindow.cpp", "C++", 0, 74, 0, 19, 32, 125
"d:\qtproject\FeiQ2\code\mainwindow\mainwindow.h", "C++", 0, 117, 0, 18, 16, 151
"d:\qtproject\FeiQ2\code\mainwindow\settingswidget.cpp", "C++", 0, 559, 0, 62, 129, 750
"d:\qtproject\FeiQ2\code\mainwindow\settingswidget.h", "C++", 0, 168, 0, 32, 50, 250
"d:\qtproject\FeiQ2\code\mainwindow\sharefilemanagerwidget.cpp", "C++", 0, 127, 0, 19, 20, 166
"d:\qtproject\FeiQ2\code\mainwindow\sharefilemanagerwidget.h", "C++", 0, 46, 0, 2, 9, 57
"d:\qtproject\FeiQ2\code\networkModule\NetworkManager.cpp", "C++", 0, 2, 0, 0, 1, 3
"d:\qtproject\FeiQ2\code\networkModule\NetworkManager.h", "C++", 0, 0, 0, 4, 0, 4
"d:\qtproject\FeiQ2\code\systemInfoHelper\APIHelper.cpp", "C++", 0, 0, 0, 0, 2, 2
"d:\qtproject\FeiQ2\code\systemInfoHelper\systemConfiguration.h", "C++", 0, 3, 0, 1, 1, 5
"d:\qtproject\FeiQ2\code\task\CurrentTask.h", "C++", 0, 10, 0, 6, -2, 14
"d:\qtproject\FeiQ2\code\task\TaskDispatcher.cpp", "C++", 0, 0, 0, 0, 1, 1
"d:\qtproject\FeiQ2\code\task\TaskDispatcher.h", "C++", 0, 13, 0, 5, 3, 21
"d:\qtproject\FeiQ2\code\threadPool\ThreadPool.h", "C++", 0, 12, 0, 2, 2, 16
"d:\qtproject\FeiQ2\setting\functionSetting.json", "JSON", 0, 0, 17, 0, 0, 17
"d:\qtproject\FeiQ2\setting\personalInfo.json", "JSON", 0, 0, 12, 0, 0, 12
"d:\qtproject\FeiQ2\setting\systemSetting.json", "JSON", 0, 0, 6, 0, 0, 6
"d:\qtproject\FeiQ2\test\zlib\CMakeLists.txt", "CMake", 19, 0, 0, 1, 7, 27
"d:\qtproject\FeiQ2\test\zlib\test.cpp", "C++", 0, 71, 0, 7, 16, 94
"Total", "-", 21, 1338, 35, 204, 322, 1920
