"filename", "language", "C++", "CMake", "Markdown", "JSON", "comment", "blank", "total"
"d:\qtproject\FeiQ2\CMakeLists.txt", "CMake", 0, -65, 0, 0, -31, -27, -123
"d:\qtproject\FeiQ2\code\Mapper\Mapper.h", "C++", 7, 0, 0, 0, 0, 0, 7
"d:\qtproject\FeiQ2\code\MyControl\MyWidget\FriendItemWidget.h", "C++", -69, 0, 0, 0, -12, -11, -92
"d:\qtproject\FeiQ2\code\Sqlite3\SqlLite.h", "C++", 0, 0, 0, 0, 3, -1, 2
"d:\qtproject\FeiQ2\code\infoModule\FriendInfo.h", "C++", 53, 0, 0, 0, 5, 2, 60
"d:\qtproject\FeiQ2\code\infoModule\SqlDao.h", "C++", 11, 0, 0, 0, 6, 5, 22
"d:\qtproject\FeiQ2\code\infoModule\chatMessage\chatMessageDAO.h", "C++", 4, 0, 0, 0, 0, 2, 6
"d:\qtproject\FeiQ2\code\infoModule\chatMessage\chatMessageDO.h", "C++", 18, 0, 0, 0, 0, 2, 20
"d:\qtproject\FeiQ2\code\infoModule\chatMessage\chatMessageMapper.h", "C++", 15, 0, 0, 0, 0, 0, 15
"d:\qtproject\FeiQ2\code\mainwindow\mainwindow.cpp", "C++", -1, 0, 0, 0, 6, 1, 6
"d:\qtproject\FeiQ2\code\mainwindow\mainwindow.h", "C++", -3, 0, 0, 0, 6, 0, 3
"d:\qtproject\FeiQ2\code\task\Mapper.h", "C++", -33, 0, 0, 0, 0, -6, -39
"d:\qtproject\FeiQ2\code\task\TaskDispatcher.cpp", "C++", 6, 0, 0, 0, 2, 0, 8
"d:\qtproject\FeiQ2\code\task\TaskDispatcher.h", "C++", -1, 0, 0, 0, 1, 0, 0
"d:\qtproject\FeiQ2\setting\functionSetting.json", "JSON", 0, 0, 0, -17, 0, 0, -17
"d:\qtproject\FeiQ2\setting\personalInfo.json", "JSON", 0, 0, 0, -12, 0, 0, -12
"d:\qtproject\FeiQ2\setting\systemSetting.json", "JSON", 0, 0, 0, -6, 0, 0, -6
"d:\qtproject\FeiQ2\test\BoostAsio\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, -1, -1
"d:\qtproject\FeiQ2\test\BoostAsio\test.cpp", "C++", -125, 0, 0, 0, -13, -17, -155
"d:\qtproject\FeiQ2\test\BoostUdp\CMakeLists.txt", "CMake", 0, -5, 0, 0, -8, -3, -16
"d:\qtproject\FeiQ2\test\BoostUdp\test.cpp", "C++", -91, 0, 0, 0, -9, -21, -121
"d:\qtproject\FeiQ2\test\CMakeLists.txt", "CMake", 0, -23, 0, 0, -9, -5, -37
"d:\qtproject\FeiQ2\test\GetLocalName\test.cpp", "C++", -23, 0, 0, 0, -2, -3, -28
"d:\qtproject\FeiQ2\test\GetLocalNet\CMakeLists.txt", "CMake", 0, -9, 0, 0, -1, 0, -10
"d:\qtproject\FeiQ2\test\GetLocalNet\test.cpp", "C++", -150, 0, 0, 0, -54, -19, -223
"d:\qtproject\FeiQ2\test\OpenSSLtest\CMakeLists.txt", "CMake", 0, -17, 0, 0, -3, -4, -24
"d:\qtproject\FeiQ2\test\OpenSSLtest\test.cpp", "C++", -122, 0, 0, 0, -26, -33, -181
"d:\qtproject\FeiQ2\test\OpenSSLtest\说明.md", "Markdown", 0, 0, -52, 0, 0, -44, -96
"d:\qtproject\FeiQ2\test\SqlLite\CMakeLists.txt", "CMake", 0, -6, 0, 0, -1, -2, -9
"d:\qtproject\FeiQ2\test\SqlLite\test.cpp", "C++", -52, 0, 0, 0, -1, -12, -65
"d:\qtproject\FeiQ2\test\boostFilesystem\main.cpp", "C++", 0, 0, 0, 0, 0, -1, -1
"d:\qtproject\FeiQ2\test\jsonCpp\CMakeLists.txt", "CMake", 0, -11, 0, 0, -3, -3, -17
"d:\qtproject\FeiQ2\test\jsonCpp\test.cpp", "C++", -53, 0, 0, 0, -4, -11, -68
"d:\qtproject\FeiQ2\test\jsonCpp\test_json.json", "JSON", 0, 0, 0, -13, 0, 0, -13
"d:\qtproject\FeiQ2\test\zlib\CMakeLists.txt", "CMake", 0, -19, 0, 0, -1, -7, -27
"d:\qtproject\FeiQ2\test\zlib\test.cpp", "C++", -71, 0, 0, 0, -7, -16, -94
"Total", "-", -680, -155, -52, -48, -156, -235, -1326
