"filename", "language", "CMake", "C++", "Markdown", "JSON", "comment", "blank", "total"
"d:\qtproject\FeiQ2\CMakeLists.txt", "CMake", 68, 0, 0, 0, 31, 30, 129
"d:\qtproject\FeiQ2\code\Mapper\Mapper.h", "C++", 0, 7, 0, 0, 0, 0, 7
"d:\qtproject\FeiQ2\code\MyControl\MetaDataDefine.h", "C++", 0, 4, 0, 0, 0, 2, 6
"d:\qtproject\FeiQ2\code\MyControl\MyLabel\mylabel.cpp", "C++", 0, 49, 0, 0, 10, 13, 72
"d:\qtproject\FeiQ2\code\MyControl\MyLabel\mylabel.h", "C++", 0, 32, 0, 0, 7, 2, 41
"d:\qtproject\FeiQ2\code\MyControl\MyWidget\FriendChatWidget.cpp", "C++", 0, 19, 0, 0, 0, 4, 23
"d:\qtproject\FeiQ2\code\MyControl\MyWidget\FriendChatWidget.h", "C++", 0, 15, 0, 0, 0, 2, 17
"d:\qtproject\FeiQ2\code\MyControl\MyWidget\FriendItemWidget.cpp", "C++", 0, 46, 0, 0, 6, 12, 64
"d:\qtproject\FeiQ2\code\MyControl\MyWidget\FriendItemWidget.h", "C++", 0, 41, 0, 0, 6, 3, 50
"d:\qtproject\FeiQ2\code\MyControl\MyWidget\MessageBubble.cpp", "C++", 0, 13, 0, 0, 2, 3, 18
"d:\qtproject\FeiQ2\code\MyControl\MyWidget\MessageBubble.h", "C++", 0, 15, 0, 0, 1, 2, 18
"d:\qtproject\FeiQ2\code\Sqlite3\SqlLite.h", "C++", 0, 149, 0, 0, 14, 23, 186
"d:\qtproject\FeiQ2\code\dataProcess\DataProcess.cpp", "C++", 0, 131, 0, 0, 32, 37, 200
"d:\qtproject\FeiQ2\code\dataProcess\DataProcess.h", "C++", 0, 26, 0, 0, 2, 3, 31
"d:\qtproject\FeiQ2\code\fileSystem\FileSystem.cpp", "C++", 0, 0, 0, 0, 0, 1, 1
"d:\qtproject\FeiQ2\code\fileSystem\FileSystem.h", "C++", 0, 14, 0, 0, 0, 6, 20
"d:\qtproject\FeiQ2\code\fileSystem\downloader\downloader.cpp", "C++", 0, 8, 0, 0, 0, 3, 11
"d:\qtproject\FeiQ2\code\fileSystem\downloader\downloader.h", "C++", 0, 8, 0, 0, 1, 0, 9
"d:\qtproject\FeiQ2\code\fileSystem\uploader\uploader.cpp", "C++", 0, 111, 0, 0, 18, 9, 138
"d:\qtproject\FeiQ2\code\fileSystem\uploader\uploader.h", "C++", 0, 28, 0, 0, 9, 5, 42
"d:\qtproject\FeiQ2\code\infoModule\FriendInfo.h", "C++", 0, 71, 0, 0, 8, 6, 85
"d:\qtproject\FeiQ2\code\infoModule\chatMessage\chatMessageDAO.h", "C++", 0, 56, 0, 0, 3, 1, 60
"d:\qtproject\FeiQ2\code\infoModule\chatMessage\chatMessageDO.h", "C++", 0, 18, 0, 0, 0, 2, 20
"d:\qtproject\FeiQ2\code\infoModule\chatMessage\chatMessageMapper.h", "C++", 0, 16, 0, 0, 0, 0, 16
"d:\qtproject\FeiQ2\code\jsonCpp\dispositionReader.cpp", "C++", 0, 87, 0, 0, 21, 16, 124
"d:\qtproject\FeiQ2\code\jsonCpp\dispositionReader.h", "C++", 0, 36, 0, 0, 9, 7, 52
"d:\qtproject\FeiQ2\code\logs\logs.cpp", "C++", 0, 42, 0, 0, 14, 3, 59
"d:\qtproject\FeiQ2\code\logs\logs.h", "C++", 0, 24, 0, 0, 3, 1, 28
"d:\qtproject\FeiQ2\code\main.cpp", "C++", 0, 9, 0, 0, 0, 3, 12
"d:\qtproject\FeiQ2\code\mainwindow\mainwindow.cpp", "C++", 0, 236, 0, 0, 71, 57, 364
"d:\qtproject\FeiQ2\code\mainwindow\mainwindow.h", "C++", 0, 67, 0, 0, 18, 14, 99
"d:\qtproject\FeiQ2\code\mainwindow\settingswidget.cpp", "C++", 0, 559, 0, 0, 62, 129, 750
"d:\qtproject\FeiQ2\code\mainwindow\settingswidget.h", "C++", 0, 168, 0, 0, 32, 50, 250
"d:\qtproject\FeiQ2\code\mainwindow\sharefilemanagerwidget.cpp", "C++", 0, 127, 0, 0, 19, 20, 166
"d:\qtproject\FeiQ2\code\mainwindow\sharefilemanagerwidget.h", "C++", 0, 46, 0, 0, 2, 9, 57
"d:\qtproject\FeiQ2\code\networkModule\NetworkHelper.cpp", "C++", 0, 23, 0, 0, 5, 6, 34
"d:\qtproject\FeiQ2\code\networkModule\NetworkHelper.h", "C++", 0, 27, 0, 0, 7, 4, 38
"d:\qtproject\FeiQ2\code\networkModule\NetworkManager.cpp", "C++", 0, 45, 0, 0, 3, 10, 58
"d:\qtproject\FeiQ2\code\networkModule\NetworkManager.h", "C++", 0, 25, 0, 0, 9, 5, 39
"d:\qtproject\FeiQ2\code\networkModule\Socket.cpp", "C++", 0, 410, 0, 0, 75, 46, 531
"d:\qtproject\FeiQ2\code\networkModule\Socket.h", "C++", 0, 146, 0, 0, 29, 24, 199
"d:\qtproject\FeiQ2\code\systemInfoHelper\APIHelper.cpp", "C++", 0, 99, 0, 0, 9, 25, 133
"d:\qtproject\FeiQ2\code\systemInfoHelper\APIHelper.h", "C++", 0, 18, 0, 0, 6, 3, 27
"d:\qtproject\FeiQ2\code\systemInfoHelper\AdapterInfo.cpp", "C++", 0, 148, 0, 0, 55, 24, 227
"d:\qtproject\FeiQ2\code\systemInfoHelper\AdapterInfo.h", "C++", 0, 76, 0, 0, 14, 7, 97
"d:\qtproject\FeiQ2\code\systemInfoHelper\systemConfiguration.h", "C++", 0, 3, 0, 0, 1, 1, 5
"d:\qtproject\FeiQ2\code\systemInfoHelper\userLocalInfo.cpp", "C++", 0, 23, 0, 0, 4, 5, 32
"d:\qtproject\FeiQ2\code\systemInfoHelper\userLocalInfo.h", "C++", 0, 40, 0, 0, 5, 3, 48
"d:\qtproject\FeiQ2\code\task\CurrentTask.h", "C++", 0, 168, 0, 0, 57, 13, 238
"d:\qtproject\FeiQ2\code\task\TaskDispatcher.cpp", "C++", 0, 27, 0, 0, 0, 6, 33
